"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_121770_coefficient","contrast_121770_log2fc","contrast_121770_tstat","contrast_121770_pvalue","contrast_121772_coefficient","contrast_121772_log2fc","contrast_121772_tstat","contrast_121772_pvalue"
"26",6876,6876,"TAGLN","transgelin",1.122e-10,9.505e-08,0.0012,-6.2953,-6.2953,-21.2656,8.562e-10,-7.3089,-7.3089,-24.9841,1.698e-10
"27",23213,23213,"SULF1","sulfatase 1",1.227e-10,9.658e-08,0.0013,-11.8396,-11.8396,-19.7783,1.767e-09,-13.1454,-13.1454,-22.9876,3.923e-10
"28",4133,4133,"MAP2","microtubule associated protein 2",1.194e-10,9.658e-08,0.0012,1.396,1.396,7.8866,1.173e-05,-7.4408,-7.4408,-24.2598,2.283e-10
"29",81606,81606,"LBH","LBH regulator of WNT signaling pathway",1.337e-10,1.016e-07,0.0013,-8.6579,-8.6579,-24.2205,2.321e-10,-3.9583,-3.9583,-21.4886,7.713e-10
"30",6252,6252,"RTN1","reticulon 1",1.45e-10,1.022e-07,0.0014,6.2172,6.2172,18.5524,3.343e-09,-3.1992,-3.1992,-6.6492,5.16e-05
"31",2200,2200,"FBN1","fibrillin 1",1.484e-10,1.022e-07,0.0015,-8.6788,-8.6788,-25.0213,1.673e-10,-3.8932,-3.8932,-20.5365,1.214e-09
"32",7078,7078,"TIMP3","TIMP metallopeptidase inhibitor 3",1.468e-10,1.022e-07,0.0014,-4.1377,-4.1377,-26.3931,9.772e-11,-3.0652,-3.0652,-22.5178,4.826e-10
"33",81035,81035,"COLEC12","collectin subfamily member 12",1.711e-10,1.129e-07,0.0015,-12.6019,-12.6019,-19.2279,2.342e-09,-13.239,-13.239,-22.1386,5.723e-10
"34",10398,10398,"MYL9","myosin light chain 9",2.102e-10,1.129e-07,0.0019,-6.6074,-6.6074,-22.2374,5.473e-10,-4.5481,-4.5481,-21.9102,6.349e-10
"35",8323,8323,"FZD6","frizzled class receptor 6",2.001e-10,1.129e-07,0.0017,-7.5519,-7.5519,-19.6889,1.849e-09,-9.3113,-9.3113,-22.4655,4.94e-10
"36",5924,5924,"RASGRF2","Ras protein specific guanine nucleotide releasing factor 2",1.808e-10,1.129e-07,0.0015,-9.3011,-9.3011,-19.083,2.525e-09,-8.6511,-8.6511,-23.029,3.853e-10
"37",23180,23180,"RFTN1","raftlin, lipid raft linker 1",1.995e-10,1.129e-07,0.0016,-4.3111,-4.3111,-18.2837,3.865e-09,-7.5527,-7.5527,-25.0741,1.638e-10
"38",3791,3791,"KDR","kinase insert domain receptor",2.067e-10,1.129e-07,0.0018,-4.6989,-4.6989,-18.6314,3.205e-09,-8.6033,-8.6033,-24.2865,2.258e-10
"39",3856,3856,"KRT8","keratin 8",2.017e-10,1.129e-07,0.0017,-0.1567,-0.1567,-0.4369,0.6713,5.7215,5.7215,19.7254,1.815e-09
"40",2335,2335,"FN1","fibronectin 1",1.961e-10,1.129e-07,0.0016,-12.9102,-12.9102,-22.743,4.368e-10,-4.5136,-4.5136,-20.4027,1.296e-09
"41",84034,84034,"EMILIN2","elastin microfibril interfacer 2",2.101e-10,1.129e-07,0.0018,5.0278,5.0278,18.0243,4.454e-09,-6.3184,-6.3184,-11.7152,3e-07
"42",25925,25925,"ZNF521","zinc finger protein 521",2.197e-10,1.153e-07,0.0019,-13.0439,-13.0439,-17.5493,5.806e-09,-9.9496,-9.9496,-22.7185,4.415e-10
"43",57512,57512,"GPR158","G protein-coupled receptor 158",2.458e-10,1.177e-07,0.0021,5.8411,5.8411,18.2229,3.995e-09,-6.0488,-6.0488,-10.0611,1.267e-06
"44",445,445,"ASS1","argininosuccinate synthase 1",2.305e-10,1.177e-07,0.002,-3.3604,-3.3604,-16.4643,1.092e-08,-6.476,-6.476,-26.3733,9.847e-11
"45",2674,2674,"GFRA1","GDNF family receptor alpha 1",2.445e-10,1.177e-07,0.002,-12.9989,-12.9989,-17.2722,6.798e-09,-9.7513,-9.7513,-22.4819,4.904e-10
"46",6857,6857,"SYT1","synaptotagmin 1",2.428e-10,1.177e-07,0.002,-13.1927,-13.1927,-17.2022,7.077e-09,-10.6358,-10.6358,-22.6072,4.638e-10
"47",6513,6513,"SLC2A1","solute carrier family 2 member 1",2.581e-10,1.2e-07,0.0021,-0.2975,-0.2975,-1.5004,0.1638,3.402,3.402,20.1525,1.466e-09
"48",116535,116535,"MRGPRF","MAS related GPR family member F",2.614e-10,1.2e-07,0.0022,-7.2556,-7.2556,-19.6164,1.918e-09,-12.4219,-12.4219,-20.7895,1.074e-09
"49",91607,91607,"SLFN11","schlafen family member 11",2.732e-10,1.228e-07,0.0022,-12.6038,-12.6038,-17.5114,5.932e-09,-6.079,-6.079,-22.2722,5.387e-10
"50",91461,91461,"PKDCC","protein kinase domain containing, cytoplasmic",2.904e-10,1.23e-07,0.0024,6.8055,6.8055,17.0695,7.641e-09,-1.4042,-1.4042,-2.7529,0.02
"51",3908,3908,"LAMA2","laminin subunit alpha 2",2.875e-10,1.23e-07,0.0023,-7.0932,-7.0932,-20.4956,1.238e-09,-5.2664,-5.2664,-21.7178,6.936e-10
"52",214,214,"ALCAM","activated leukocyte cell adhesion molecule",2.848e-10,1.23e-07,0.0023,-5.3846,-5.3846,-27.2466,7.089e-11,-1.8378,-1.8378,-12.3722,1.777e-07
"53",50509,50509,"COL5A3","collagen type V alpha 3 chain",3.024e-10,1.234e-07,0.0025,-6.0566,-6.0566,-19.3249,2.227e-09,-11.7285,-11.7285,-20.9889,9.762e-10
"54",4015,4015,"LOX","lysyl oxidase",3.004e-10,1.234e-07,0.0024,-9.5903,-9.5903,-19.0198,2.61e-09,-6.8837,-6.8837,-22.1826,5.61e-10
"55",3075,3075,"CFH","complement factor H",3.195e-10,1.28e-07,0.0025,-13.6885,-13.6885,-16.2915,1.212e-08,-6.3593,-6.3593,-22.5397,4.78e-10
"56",7412,7412,"VCAM1","vascular cell adhesion molecule 1",3.384e-10,1.331e-07,0.0025,-12.3923,-12.3923,-17.9526,4.634e-09,-5.1585,-5.1585,-21.5452,7.513e-10
"57",1463,1463,"NCAN","neurocan",3.597e-10,1.349e-07,0.0026,12.4827,12.4827,17.119,7.425e-09,0.7794,0.7794,0.866,0.4064
"58",79827,79827,"CLMP","CXADR like membrane protein",3.573e-10,1.349e-07,0.0026,-9.8329,-9.8329,-17.541,5.833e-09,-8.0346,-8.0346,-21.6759,7.071e-10
"59",56896,56896,"DPYSL5","dihydropyrimidinase like 5",3.612e-10,1.349e-07,0.0027,3.2339,3.2339,14.2535,4.502e-08,-6.7029,-6.7029,-15.3108,2.233e-08
"60",25878,25878,"MXRA5","matrix remodeling associated 5",3.706e-10,1.361e-07,0.0027,-12.9486,-12.9486,-17.0546,7.708e-09,-11.0779,-11.0779,-21.2379,8.675e-10
"61",2312,2312,"FLG","filaggrin",3.9e-10,1.386e-07,0.0028,-7.2394,-7.2394,-6.9077,3.73e-05,8.8449,8.8449,21.1721,8.949e-10
"62",107985879,107985879,"LINC01833","long intergenic non-protein coding RNA 1833",3.884e-10,1.386e-07,0.0028,-11.7857,-11.7857,-17.0311,7.814e-09,-10.1116,-10.1116,-21.21,8.79e-10
"63",6424,6424,"SFRP4","secreted frizzled related protein 4",4.007e-10,1.387e-07,0.0029,-12.5899,-12.5899,-16.7802,9.049e-09,-6.2955,-6.2955,-21.5688,7.431e-10
"64",2201,2201,"FBN2","fibrillin 2",4.03e-10,1.387e-07,0.0029,-11.3553,-11.3553,-23.5197,3.118e-10,-2.7908,-2.7908,-15.7333,1.709e-08
"65",1289,1289,"COL5A1","collagen type V alpha 1 chain",4.643e-10,1.404e-07,0.0032,-7.5581,-7.5581,-18.3363,3.756e-09,-9.3925,-9.3925,-20.3499,1.33e-09
"66",4884,4884,"NPTX1","neuronal pentraxin 1",4.412e-10,1.404e-07,0.0031,-8.2686,-8.2686,-17.9166,4.727e-09,-7.8354,-7.8354,-20.9213,1.008e-09
"67",6672,6672,"SP100","SP100 nuclear antigen",4.143e-10,1.404e-07,0.003,-5.6314,-5.6314,-22.3836,5.125e-10,-3.6651,-3.6651,-19.8949,1.667e-09
"68",1393,1393,"CRHBP","corticotropin releasing hormone binding protein",4.674e-10,1.404e-07,0.0033,-12.5915,-12.5915,-17.6543,5.473e-09,-4.8117,-4.8117,-20.4329,1.277e-09
"69",79822,79822,"ARHGAP28","Rho GTPase activating protein 28",4.837e-10,1.404e-07,0.0034,-11.0158,-11.0158,-17.1296,7.38e-09,-11.9748,-11.9748,-20.2928,1.368e-09
"70",2890,2890,"GRIA1","glutamate ionotropic receptor AMPA type subunit 1",4.225e-10,1.404e-07,0.003,-11.1009,-11.1009,-17.2079,7.054e-09,-6.1518,-6.1518,-21.5947,7.342e-10
"71",1003,1003,"CDH5","cadherin 5",4.839e-10,1.404e-07,0.0034,-7.6349,-7.6349,-18.081,4.318e-09,-7.1609,-7.1609,-20.9492,9.948e-10
"72",2564,2564,"GABRE","gamma-aminobutyric acid type A receptor subunit epsilon",5.076e-10,1.404e-07,0.0035,11.6553,11.6553,16.4392,1.108e-08,2.4109,2.4109,2.9505,0.0142
"73",290,290,"ANPEP","alanyl aminopeptidase, membrane",5.161e-10,1.404e-07,0.0037,-9.7061,-9.7061,-17.4188,6.252e-09,-9.4728,-9.4728,-20.351,1.329e-09
"74",3757,3757,"KCNH2","potassium voltage-gated channel subfamily H member 2",4.943e-10,1.404e-07,0.0035,7.9893,7.9893,16.0081,1.441e-08,0.4876,0.4876,0.8433,0.4184
"75",57125,57125,"PLXDC1","plexin domain containing 1",5.091e-10,1.404e-07,0.0036,-11.6067,-11.6067,-16.6892,9.549e-09,-10.3321,-10.3321,-20.6472,1.15e-09
"76",284119,284119,"CAVIN1","caveolae associated protein 1",4.387e-10,1.404e-07,0.003,-4.1984,-4.1984,-25.2344,1.536e-10,-0.7659,-0.7659,-5.7544,2e-04
"77",7168,7168,"TPM1","tropomyosin 1",4.62e-10,1.404e-07,0.0032,-4.2893,-4.2893,-23.6592,2.938e-10,-3.0886,-3.0886,-20.0368,1.552e-09
"78",10516,10516,"FBLN5","fibulin 5",4.56e-10,1.404e-07,0.0031,-10.6855,-10.6855,-17.3819,6.385e-09,-11.3778,-11.3778,-20.2681,1.384e-09
"79",79901,79901,"CYBRD1","cytochrome b reductase 1",4.925e-10,1.404e-07,0.0034,-8.1019,-8.1019,-22.9387,4.008e-10,-3.6714,-3.6714,-17.7296,5.246e-09
"80",2049,2049,"EPHB3","EPH receptor B3",4.806e-10,1.404e-07,0.0033,2.5723,2.5723,12.3384,1.825e-07,-3.5142,-3.5142,-13.0228,1.083e-07
"81",56245,56245,"C21orf62","chromosome 21 open reading frame 62",5.107e-10,1.404e-07,0.0036,10.1376,10.1376,16.0102,1.439e-08,-1.5688,-1.5688,-1.894,0.0869
"82",2034,2034,"EPAS1","endothelial PAS domain protein 1",5.441e-10,1.451e-07,0.0037,3.4342,3.4342,14.8256,3.063e-08,-2.1672,-2.1672,-7.8232,1.26e-05
"83",857,857,"CAV1","caveolin 1",5.465e-10,1.451e-07,0.0038,-6.2069,-6.2069,-25.553,1.354e-10,-2.0402,-2.0402,-11.673,3.106e-07
"84",6542,6542,"SLC7A2","solute carrier family 7 member 2",5.634e-10,1.478e-07,0.0038,10.1975,10.1975,15.8004,1.639e-08,-1.2474,-1.2474,-1.5008,0.1637
"85",3399,3399,"ID3","inhibitor of DNA binding 3",6.051e-10,1.505e-07,0.004,5.4627,5.4627,16.2992,1.206e-08,-0.4245,-0.4245,-1.0822,0.304
"86",23336,23336,"SYNM","synemin",6.039e-10,1.505e-07,0.0039,-2.4111,-2.4111,-11.5536,3.426e-07,-9.4724,-9.4724,-24.7847,1.841e-10
"87",633,633,"BGN","biglycan",5.891e-10,1.505e-07,0.0039,-5.9234,-5.9234,-17.4688,6.077e-09,-8.0193,-8.0193,-20.8787,1.029e-09
"88",4843,4843,"NOS2","nitric oxide synthase 2",6.007e-10,1.505e-07,0.0039,9.8131,9.8131,15.2063,2.389e-08,1.7893,1.7893,2.4655,0.0329
"89",84803,84803,"GPAT3","glycerol-3-phosphate acyltransferase 3",6.149e-10,1.505e-07,0.0041,-1.9225,-1.9225,-5.4468,3e-04,4.0954,4.0954,16.1971,1.283e-08
"90",83872,83872,"HMCN1","hemicentin 1",6.104e-10,1.505e-07,0.004,-11.9714,-11.9714,-16.4885,1.076e-08,-5.9493,-5.9493,-20.3593,1.324e-09
"91",64167,64167,"ERAP2","endoplasmic reticulum aminopeptidase 2",6.734e-10,1.63e-07,0.0041,-2.2175,-2.2175,-12.386,1.758e-07,-5.0965,-5.0965,-24.7285,1.883e-10
"92",8091,8091,"HMGA2","high mobility group AT-hook 2",6.895e-10,1.651e-07,0.0042,-8.1112,-8.1112,-20.9532,9.93e-10,-3.775,-3.775,-18.1004,4.272e-09
"93",6585,6585,"SLIT1","slit guidance ligand 1",7.045e-10,1.663e-07,0.0042,9.9713,9.9713,15.3101,2.234e-08,0.1036,0.1036,0.132,0.8975
"94",8642,8642,"DCHS1","dachsous cadherin-related 1",7.213e-10,1.663e-07,0.0043,-3.1385,-3.1385,-15.1246,2.518e-08,-5.5881,-5.5881,-23.5024,3.141e-10
"95",2596,2596,"GAP43","growth associated protein 43",7.244e-10,1.663e-07,0.0044,0.3641,0.3641,2.0065,0.072,-5.2769,-5.2769,-21.6012,7.32e-10
"96",1601,1601,"DAB2","DAB adaptor protein 2",7.227e-10,1.663e-07,0.0043,-12.1375,-12.1375,-16.2644,1.232e-08,-11.4026,-11.4026,-19.5468,1.988e-09
"97",84894,84894,"LINGO1","leucine rich repeat and Ig domain containing 1",7.533e-10,1.696e-07,0.0044,11.8175,11.8175,14.8045,3.106e-08,1.3743,1.3743,1.4796,0.1691
"98",50861,50861,"STMN3","stathmin 3",7.542e-10,1.696e-07,0.0044,1.3423,1.3423,6.8972,3.779e-05,-5.7886,-5.7886,-19.0506,2.568e-09
"99",1134,1134,"CHRNA1","cholinergic receptor nicotinic alpha 1 subunit",7.622e-10,1.696e-07,0.0045,-13.1563,-13.1563,-15.0464,2.65e-08,-7.1946,-7.1946,-20.5181,1.225e-09
"100",9537,9537,"TP53I11","tumor protein p53 inducible protein 11",7.735e-10,1.704e-07,0.0045,-1.6701,-1.6701,-9.0739,3.301e-06,-10.9315,-10.9315,-24.2076,2.333e-10
"101",30812,30812,"SOX8","SRY-box transcription factor 8",8.204e-10,1.79e-07,0.0046,7.4352,7.4352,16.1912,1.288e-08,-4.5944,-4.5944,-6.1724,9.598e-05
"102",1004,1004,"CDH6","cadherin 6",8.561e-10,1.831e-07,0.0047,5.2417,5.2417,17.1423,7.326e-09,0.5198,0.5198,1.562,0.1487
"103",2069,2069,"EREG","epiregulin",8.521e-10,1.831e-07,0.0046,-11.3895,-11.3895,-15.9635,1.481e-08,-6.8883,-6.8883,-19.7178,1.822e-09
"104",2894,2894,"GRID1","glutamate ionotropic receptor delta type subunit 1",9.098e-10,1.913e-07,0.0047,11.1236,11.1236,15.7402,1.701e-08,3.0868,3.0868,3.8816,0.0029
"105",23089,23089,"PEG10","paternally expressed 10",9.204e-10,1.913e-07,0.0048,-1.9704,-1.9704,-11.299,4.238e-07,-4.1594,-4.1594,-24.1052,2.435e-10
"106",4101,4101,"MAGEA2","MAGE family member A2",9.127e-10,1.913e-07,0.0048,11.4004,11.4004,15.608,1.848e-08,3.0278,3.0278,3.6756,0.0041
"107",10417,10417,"SPON2","spondin 2",9.327e-10,1.921e-07,0.0049,-5.3549,-5.3549,-16.5122,1.061e-08,-8.0255,-8.0255,-20.3846,1.307e-09
"108",255738,255738,"PCSK9","proprotein convertase subtilisin/kexin type 9",9.452e-10,1.928e-07,0.0049,-11.393,-11.393,-15.8563,1.583e-08,-7.3352,-7.3352,-19.3656,2.181e-09
"109",1277,1277,"COL1A1","collagen type I alpha 1 chain",9.718e-10,1.947e-07,0.005,-10.8939,-10.8939,-24.0969,2.443e-10,-0.4976,-0.4976,-3.0821,0.0113
"110",5396,5396,"PRRX1","paired related homeobox 1",9.708e-10,1.947e-07,0.0049,-6.2888,-6.2888,-17.8602,4.878e-09,-5.9615,-5.9615,-19.994,1.586e-09
"111",23236,23236,"PLCB1","phospholipase C beta 1",1.056e-09,1.966e-07,0.0053,-2.8328,-2.8328,-12.7036,1.377e-07,-7.8558,-7.8558,-22.7661,4.323e-10
"112",220382,220382,"FAM181B","family with sequence similarity 181 member B",1.024e-09,1.966e-07,0.0051,12.6869,12.6869,14.779,3.159e-08,4.4193,4.4193,4.7249,8e-04
"113",63910,63910,"SLC17A9","solute carrier family 17 member 9",1.047e-09,1.966e-07,0.0052,11.3555,11.3555,15.4578,2.033e-08,1.4103,1.4103,1.5948,0.1412
"114",27443,27443,"CECR2","CECR2 histone acetyl-lysine reader",1.018e-09,1.966e-07,0.005,5.3644,5.3644,14.7942,3.127e-08,-3.7036,-3.7036,-6.8606,3.955e-05
"115",58494,58494,"JAM2","junctional adhesion molecule 2",1.022e-09,1.966e-07,0.0051,-2.9625,-2.9625,-14.0367,5.228e-08,-5.6514,-5.6514,-22.8359,4.193e-10
"116",81849,81849,"ST6GALNAC5","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",1.08e-09,1.966e-07,0.0055,-11.8173,-11.8173,-15.7434,1.698e-08,-6.5403,-6.5403,-19.3613,2.186e-09
"117",4111,4111,"MAGEA12","MAGE family member A12",1.067e-09,1.966e-07,0.0054,11.4528,11.4528,16.0721,1.385e-08,6.081,6.081,8.1926,8.349e-06
"118",120,120,"ADD3","adducin 3",1.077e-09,1.966e-07,0.0054,-4.8246,-4.8246,-21.8363,6.568e-10,-3.0779,-3.0779,-17.5934,5.663e-09
"119",8076,8076,"MFAP5","microfibril associated protein 5",1.051e-09,1.966e-07,0.0053,-15.4003,-15.4003,-18.3802,3.668e-09,-2.9983,-2.9983,-17.0797,7.596e-09
"120",8793,8793,"TNFRSF10D","TNF receptor superfamily member 10d",1.03e-09,1.966e-07,0.0052,-11.691,-11.691,-15.6624,1.786e-08,-10.014,-10.014,-18.9891,2.652e-09
"121",2138,2138,"EYA1","EYA transcriptional coactivator and phosphatase 1",1.063e-09,1.966e-07,0.0054,6.5238,6.5238,15.2181,2.37e-08,-4.5265,-4.5265,-6.6151,5.388e-05
"122",10133,10133,"OPTN","optineurin",1.099e-09,1.984e-07,0.0055,-5.7889,-5.7889,-23.4902,3.157e-10,-1.8952,-1.8952,-11.9112,2.56e-07
"123",4267,4267,"CD99","CD99 molecule (Xg blood group)",1.113e-09,1.994e-07,0.0056,-5.4283,-5.4283,-23.2843,3.449e-10,-0.7663,-0.7663,-4.821,7e-04
"124",100133941,100133941,"CD24","CD24 molecule",1.138e-09,2.022e-07,0.0056,1.6824,1.6824,2.655,0.0237,8.4949,8.4949,15.7248,1.718e-08
"125",8482,8482,"SEMA7A","semaphorin 7A (John Milton Hagen blood group)",1.159e-09,2.043e-07,0.0057,5.1281,5.1281,14.9224,2.874e-08,-0.9079,-0.9079,-2.1977,0.0521
"126",2290,2290,"FOXG1","forkhead box G1",1.232e-09,2.13e-07,0.0058,3.5754,3.5754,7.0877,2.991e-05,8.084,8.084,17.3367,6.552e-09
"127",27086,27086,"FOXP1","forkhead box P1",1.227e-09,2.13e-07,0.0057,-6.4409,-6.4409,-17.2602,6.845e-09,-5.7131,-5.7131,-19.2216,2.349e-09
"128",4239,4239,"MFAP4","microfibril associated protein 4",1.238e-09,2.13e-07,0.0058,-6.4551,-6.4551,-16.4668,1.09e-08,-8.7013,-8.7013,-18.9166,2.755e-09
"129",4744,4744,"NEFH","neurofilament heavy chain",1.397e-09,2.178e-07,0.0063,2.5736,2.5736,11.0734,5.133e-07,-7.277,-7.277,-15.2719,2.29e-08
"130",440823,440823,"MIAT","myocardial infarction associated transcript",1.387e-09,2.178e-07,0.0062,-6.8254,-6.8254,-16.8903,8.482e-09,-7.6277,-7.6277,-19.6437,1.892e-09
"131",518,518,"ATP5MC3","ATP synthase membrane subunit c locus 3",1.325e-09,2.178e-07,0.0061,0.9664,0.9664,5.5446,2e-04,-12.3648,-12.3648,-21.3815,8.109e-10
"132",23237,23237,"ARC","activity regulated cytoskeleton associated protein",1.311e-09,2.178e-07,0.006,9.3998,9.3998,14.1823,4.727e-08,2.2207,2.2207,3.0575,0.0118
"133",72,72,"ACTG2","actin gamma 2, smooth muscle",1.416e-09,2.178e-07,0.0064,-8.7298,-8.7298,-17.4221,6.24e-09,-5.3298,-5.3298,-18.5529,3.342e-09
"134",51704,51704,"GPRC5B","G protein-coupled receptor class C group 5 member B",1.418e-09,2.178e-07,0.0064,5.4729,5.4729,14.6004,3.558e-08,-2.0314,-2.0314,-4.3263,0.0014
"135",10082,10082,"GPC6","glypican 6",1.345e-09,2.178e-07,0.0061,-6.0033,-6.0033,-21.8565,6.507e-10,-2.6529,-2.6529,-14.8387,3.037e-08
"136",3977,3977,"LIFR","LIF receptor subunit alpha",1.423e-09,2.178e-07,0.0065,0.3702,0.3702,2.2609,0.0468,-3.3951,-3.3951,-18.7645,2.986e-09
"137",9788,9788,"MTSS1","MTSS I-BAR domain containing 1",1.391e-09,2.178e-07,0.0063,6.9722,6.9722,15.0157,2.703e-08,-0.4805,-0.4805,-0.8656,0.4066
"138",256691,256691,"MAMDC2","MAM domain containing 2",1.421e-09,2.178e-07,0.0064,-9.3167,-9.3167,-20.0442,1.547e-09,-3.0033,-3.0033,-15.3114,2.232e-08
"139",7545,7545,"ZIC1","Zic family member 1",1.316e-09,2.178e-07,0.006,7.7102,7.7102,18.1077,4.255e-09,4.1423,4.1423,9.5091,2.143e-06
"140",57451,57451,"TENM2","teneurin transmembrane protein 2",1.39e-09,2.178e-07,0.0062,-8.6973,-8.6973,-18.2289,3.982e-09,-4.3723,-4.3723,-17.6302,5.547e-09
"141",4233,4233,"MET","MET proto-oncogene, receptor tyrosine kinase",1.302e-09,2.178e-07,0.0059,-4.5455,-4.5455,-13.379,8.34e-08,2.3241,2.3241,11.4502,3.733e-07
"142",9180,9180,"OSMR","oncostatin M receptor",1.423e-09,2.178e-07,0.0065,-5.0045,-5.0045,-21.996,6.105e-10,-2.579,-2.579,-15.2958,2.255e-08
"143",26047,26047,"CNTNAP2","contactin associated protein 2",1.305e-09,2.178e-07,0.0059,-11.3017,-11.3017,-15.4344,2.063e-08,-10.607,-10.607,-18.54,3.365e-09
"144",286204,286204,"CRB2","crumbs cell polarity complex component 2",1.291e-09,2.178e-07,0.0059,2.26,2.26,10.0544,1.275e-06,-6.3238,-6.3238,-15.7799,1.66e-08
